name,parent,description
Files,,
Other,Files,
college-ccpa,Other,
provost,Other,
grants-office,provost,
study-abroad,provost,
student-life,Other,
pdfs,Files,
ITS,pdfs,
Blackboard,ITS,
_internal,pdfs,
business-office,_internal,
admission,pdfs,
advising,pdfs,
career,pdfs,
college-cas,pdfs,
drake,college-cas,
montesquieu,college-cas,
paralegal,college-cas,
college-ccpa,pdfs,
college-cob,pdfs,
fact-sheets,college-cob,
real-estate,college-cob,
college-coe,pdfs,
college-cop,pdfs,
fact-sheets,college-cop,
prerequisites,college-cop,
financial-aid,pdfs,
appeal-forms,financial-aid,
2020-2021,appeal-forms,
consent-forms,financial-aid,
verification-forms,financial-aid,
2019-2020,verification-forms,
2020-2021,verification-forms,
international,pdfs,
library,pdfs,
new-deal,pdfs,
news,pdfs,
policies,pdfs,
Academic,policies,
CampusSafety,policies,
Communications,policies,
Facilities,policies,
Finance,policies,
Governance,policies,
HumanResources,policies,
ITS,policies,
Safety,policies,
Student,policies,
TitleIX,policies,
general-counsel,policies,
provost,pdfs,
graduate,provost,
registrar,pdfs,
25Live,registrar,
residence-life,pdfs,
safety,pdfs,
student-accounts,pdfs,
students,pdfs,
sustainability,pdfs,
Images,,
1440x720-banners,Images,
AlGolinWeb3,1440x720-banners,
AlGolinFellows-2160x1215_Header,AlGolinWeb3,
AlGolinFellows-2160x1215_Header-2,AlGolinFellows-2160x1215_Header,
AlGolinFellows-2160x1215_Header-2,AlGolinFellows-2160x1215_Header-2,
1440x900-heroes-testimonials-stories-generalpage,Images,
stock-ticker,1440x900-heroes-testimonials-stories-generalpage,
1500x900-splash-page-granddisplay,Images,
1716x723-WeRU,Images,
2020-redesign-assets,Images,
infographics,2020-redesign-assets,
800x800-infographics,Images,
900x675-infoboxes,Images,
Faculty,Images,
Other,Faculty,
GALLERIES,Images,
CCCF,GALLERIES,
2015-16,CCCF,
2016-17,CCCF,
bloomberg,CCCF,
ConferenceEvents,GALLERIES,
New%20Deal,GALLERIES,
ResLife,GALLERIES,
hcb-boards,GALLERIES,
home,GALLERIES,
large,home,
thumb,home,
real-estate-advisory-board,GALLERIES,
recognitionAwards,GALLERIES,
virtualTour,GALLERIES,
Logos,Images,
MBIRE-sponsors,Logos,
Staff,Images,
TEMPLATES,Images,
Defaults,TEMPLATES,
ICONS,TEMPLATES,
logos,TEMPLATES,
nonstandard-sizes,Images,
300x200,nonstandard-sizes,
334x334,nonstandard-sizes,
480x480,nonstandard-sizes,
500x500,nonstandard-sizes,
600x400,nonstandard-sizes,
640x480,nonstandard-sizes,
655x655,nonstandard-sizes,
659x512,nonstandard-sizes,
683x683,nonstandard-sizes,
720x1280,nonstandard-sizes,
730x730,nonstandard-sizes,
740x500,nonstandard-sizes,
800x500,nonstandard-sizes,
900x700,nonstandard-sizes,
Misc,nonstandard-sizes,
hcb-board,nonstandard-sizes,
System,,
Template%20Thumbnails,System,
Video,,